@relation SomeContent

@attribute sq_name string
@attribute class {cp,imL#omL#imS#im#imU#pp#om#}
@attribute lip numeric
@attribute mcg numeric
@attribute alm1 numeric
@attribute aac numeric
@attribute gvh numeric
@attribute chg numeric
@attribute alm2 numeric

@data
FIMC_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.63,0.7,0.49,0.57,0.5,0.2
SYA_ECOLI,cp,0.48,0.34,0.49,0.51,0.35,0.5,0.56
BETT_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.52,0.71,0.65,0.39,0.5,0.73
KAD_ECOLI,cp,0.48,0.54,0.33,0.28,0.47,0.5,0.42
PFLB_ECOLI,cp,0.48,0.29,0.38,0.48,0.41,0.5,0.46
LNT_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.6,0.67,0.54,0.61,0.5,0.71
OMPT_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.63,0.45,0.79,0.49,0.5,0.28
MCP3_ECOLI,imL#omL#imS#im#imU#pp#om#,1,0.6,0.77,0.54,0.5,0.5,0.8
FTSL_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.36,0.79,0.38,0.45,0.5,0.17
ALKH_ECOLI,cp,0.48,0.67,0.38,0.36,0.39,0.5,0.46
CYOC_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.12,0.58,0.74,0.67,0.5,0.63
MCP2_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.81,0.87,0.57,0.53,0.5,0.88
PTHB_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.36,0.69,0.51,0.47,0.5,0.72
FHUA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.63,0.41,0.65,0.69,0.5,0.28
METK_ECOLI,cp,0.48,0.25,0.33,0.41,0.37,0.5,0.42
SECG_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.84,0.92,0.75,0.54,0.5,0.7
SYK2_ECOLI,cp,0.48,0.17,0.3,0.53,0.39,0.5,0.39
TYRB_ECOLI,cp,0.48,0.36,0.32,0.53,0.42,0.5,0.41
CYOD_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.4,0.82,0.65,0.5,0.5,0.84
SLYD_ECOLI,cp,0.48,0.47,0.2,0.56,0.28,0.5,0.25
CHEZ_ECOLI,cp,0.48,0.41,0.21,0.39,0.57,0.5,0.32
TSX_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.68,0.45,0.84,0.76,0.5,0.27
MALM_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.74,0.57,0.5,0.47,0.5,0.42
NANT_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.2,0.78,0.57,0.46,0.5,0.81
TORA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.43,0.49,0.52,0.59,0.5,0.56
ARAC_ECOLI,cp,0.48,0.42,0.18,0.56,0.4,0.5,0.3
EMRB_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.71,1,0.64,0.52,0.5,0.99
RHAS_ECOLI,cp,0.48,0.38,0.25,0.63,0.4,0.5,0.35
LEP_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.78,0.73,0.45,0.44,0.5,0.68
ECOT_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.67,0.42,0.25,0.81,0.5,0.25
PTAA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.59,0.8,0.55,0.56,0.5,0.82
DPPA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.57,0.47,0.39,0.59,0.5,0.33
PHOE_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.74,0.54,0.75,0.78,0.5,0.15
MALE_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.64,0.45,0.37,0.84,0.5,0.4
BCR_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.79,0.81,0.66,0.41,0.5,0.83
XYLE_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.69,0.76,0.57,0.39,0.5,0.79
PNTA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.33,0.65,0.46,0.37,0.5,0.69
LSPA_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.83,0.71,0.61,0.37,0.5,0.74
DAPD_ECOLI,cp,0.48,0.21,0.32,0.5,0.51,0.5,0.41
EXBD_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.46,0.76,0.36,0.59,0.5,0.23
SECE_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.48,0.77,0.52,0.49,0.5,0.71
CYSP_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.67,0.37,0.51,0.61,0.5,0.38
PEPE_ECOLI,cp,0.48,0.41,0.44,0.51,0.48,0.5,0.51
ARAH_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.34,0.85,0.58,0.49,0.5,0.8
FTSH_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.81,0.67,0.42,0.44,0.5,0.68
CHEY_ECOLI,cp,0.48,0.23,0.28,0.39,0.4,0.5,0.38
AAS_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.44,0.47,0.43,0.52,0.5,0.54
AROP_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.43,0.75,0.58,0.4,0.5,0.78
SECD_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.88,0.73,0.52,0.42,0.5,0.75
RBSB_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.64,0.39,0.37,0.81,0.5,0.44
NIRD_ECOLI,cp,0.48,0.44,0.25,0.42,0.42,0.5,0.2
PTHP_ECOLI,cp,0.48,0.3,0.21,0.36,0.45,0.5,0.32
SUBI_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.62,0.36,0.46,0.83,0.5,0.4
RNB_ECOLI,cp,0.48,0.24,0.3,0.38,0.34,0.5,0.4
PHOB_ECOLI,cp,0.48,0.41,0.31,0.45,0.43,0.5,0.41
FEPG_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.77,0.78,0.51,0.55,0.5,0.74
MSBB_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.16,0.39,0.33,0.51,0.5,0.48
LYSR_ECOLI,cp,0.48,0.44,0.46,0.5,0.56,0.5,0.54
CAIT_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.69,0.74,0.59,0.43,0.5,0.77
ADI_ECOLI,cp,0.48,0.23,0.25,0.55,0.32,0.5,0.35
RHAT_ECOLI,imL#omL#imS#im#imU#pp#om#,1,0.49,0.71,0.56,0.61,0.5,0.74
BTUB_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.56,0.36,0.77,0.68,0.5,0.45
CYSE_ECOLI,cp,0.48,0.25,0.33,0.47,0.4,0.5,0.42
AMY1_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.7,0.52,0.56,0.61,0.5,0.43
SYV_ECOLI,cp,0.48,0,0.48,0.42,0.38,0.5,0.55
GLNA_ECOLI,cp,0.48,0.28,0.33,0.5,0.38,0.5,0.42
GLNP_ECOLI,imL#omL#imS#im#imU#pp#om#,0.48,0.49,0.79,0.53,0.42,0.5,0.81
